courseName,routeType,courseBias,notes
Coastline Sprint,Road,4,마지막에 긴 직선이 있음
Daikoku Circuit,Road,2,도로 자체가 넓은 편
Electric Town Circuit,Road,2,코너 사이 구간이 길지만 코너가 급함
Festival Sprint,Road,3,중간에 급브레이크 구간이 있음
Highway Circuit,Road,5,고속형 코너 위주 / 벽타기 가능
Hokubu Circuit,Road,1,차량 2대가 휠투휠 하기도 힘들 정도로 좁음
Irokawa Circuit,Road,1,차량 3대가 나란히 서면 도로가 꽉 참
Ito Sprint,Road,4,순간적 반응보다는 코너에서 얼마나 차가 버티냐가 중요한 편
Legend Island Circuit,Road,2,우리 온로드 차량들 타임어택 재는 트랙 B코스
Narai-Juku Circuit,Road,2,코스의 절반이 비좁거나 코너 커팅이 불가능
Satta Sprint,Road,5,얕은 코너 위주
Seaside Park Sprint,Road,4,5점 줄만한데 헤어핀이 3개 있는데 이 헤어핀 3개가 뒤지게 어려운 편
Shikisai Sprint,Road,3,초반은 직선 위주인데 중후반이 테크니컬 코너가 꽤 있어서 3점
Shimanoyama Circuit,Road,1,드리프트 서킷에서 레이스 하는 건데 도로도 좁음
Shimanoyama Sprint,Road,4,코너 깊이가 꽤 있는 편인데 4점인 이유는 중반 90도 코너 이후 오르막이 급함
Shirakawa Circuit,Road,2,탈출 재가속이 안 좋으면 다음 코너까지 직선 길이가 상대적으로 있는 편이라 못 따라잡을 수 있음
Soni Circuit,Road,1,차량 2대가 휠투휠 하기도 힘들 정도로 좁은데다가 헤어핀만 3개임
Tateyama Kurobe Sprint,Road,3,북쪽 산간을 달리는 코스라 코너가 급하고 오르막이 좀 있으며 도로 가장자리는 눈이 있음
The Colossus,Road,5,고속도로 한 바퀴 / 진짜 최고속도가 좋아야함
The Goliath,Road,3,"측정 불가 / 중간에 한번씩 섞여있는 긴 직선과 쉴새 없이 튀어나오는 저속, 고속코너의 환장의 시너지"
Tokyo Railway Sprint,Road,3,고속형 탈을 썼지만 직각 코너 다수
Venus Sprint,Road,4,순간적 반응보다는 코너에서 얼마나 차가 버티냐가 중요한 편
Cedar Run,Street,3,전체적으로 구성이 밸런스하게 짜인 스프린트
Daikoku Chase,Street,5,초반 다이코쿠 주차장을 빠져나가는 급격한 저속코너인데 후반이 C1 고속도로로 올라가는 직선 주로
Festival Chase,Street,2,솔직히 선형이 나쁜게 아닌데 중간에 낀 헤어핀 2개가 진짜 개빡셈
Hokubu Ascent,Street,4,중반에 코스 절반이 오르막 직선인데 직선 끝에 진짜 하드 브레이킹을 해야하는 헤어핀이 있음
Kita Ine,Street,3,전체적으로 구성이 밸런스하게 짜인 스프린트
Matsumi Climb,Street,2,테크니컬 코너와 급격한 코너가 자주 있음
Minami Chase,Street,4,중간에 3연속 헤어핀 빼고는 어지간하면 직선
Nachi Run,Street,3,극초반이 비좁은 산간 코스 / 이후가 길게 뻗은 직선형
Norikura Descent,Street,2,선형이 애매한 각도기로 맞춘 듯한 테크니컬 코너와 헤어핀 3개
Okishinaimura Run,Street,1,시작부터 아키나 5연속 헤어핀 내려가야함
Rainbow Bridge Descent,Street,3,직선이 긴데 직선이 시내 외곽에서 시가지로 진입하는 길임
River Descent,Street,5,중반에 누가 스파게티로 만든 듯한 코스가 있는데 후반이 매우 긴 직선임
Shimanoyama Charge,Street,5,그냥 때려 밟아야함
Sunflower Charge,Street,5,얘도 그냥 때려밟는데 중반에 살짝 코너가 있음
Tokyo City Docks Charge,Street,1,항구 도로를 그대로 쓴 거라서 도로가 좁음
Airfield Trail,Dirt,3,중반 타막 코스가 길이 급격히 넓어졌다 줄어들기를 반복함
Bamboo Forest Scramble,Dirt,2,랠리지만 코스의 80%가 타막이고 더트 20%는 직선이라고 봐도 무방할 정도
Cherry Field Trail,Dirt,4,초반 급격한 코너가 있긴 한데 후반 직선이 꽤 김 / 근데 시케인이 하나 껴있음
Chiheisen Scramble,Dirt,2,선형이 좋은 거 같은데 도로 폭이 좀 별로임
Hirosaki Scramble,Dirt,1,직선보다 얼마나 코너를 섬세하게 도냐가 중요
Hokubu Trail,Dirt,3,80%가 더트로 오르막과 내리막에 테크니컬과 헤어핀까지 전통 랠리 코스
Horizon Stadium Scramble,Dirt,3,차를 날리는 거랑 브레이킹 포인트가 중요한데 재미가 없는 코스
Ine Scramble,Dirt,2,도로 폭이 좁은 건 아닌데 추월 라인을 잡기에는 어려움
Ito Trail,Dirt,1,중간에 복잡한 테크니컬 코너와 헤어핀이 있어서 여기서 치고나가면 후반에 막을만 함
Kawazu Nanadaru Scramble,Dirt,4,고속형인데 하필이면 제일 중요한 온로드 구간에 나나타키 루프 다리가 있음
Kinkaku-ji Trail,Dirt,4,마지막 90도 전에 엄청 떨어진 거 아니면 마지막 직선에서 무조건 추월 가능
Legend Island Trail,Dirt,2,중반 헤어핀 2개 있는 그래블에서 달아나면 후반에 못 따라옴
Nukabira Trail,Dirt,2,북부 산간을 달리는 전통 랠리 코스로 타막과 그래블이 적절히 혼합되어 있음
Oyashirazu Trail,Dirt,1,길이 좁고 코너가 급해서 치고나가면 답없음
Sekibe Scramble,Dirt,1,우리 트랙C 테스트 코스
