id,manufacturer,carName,className,carType,drive,category,shareCode,power,weight,lateralG,concept,summary,tuneNotes,updatedAt,testTrackATime,testTrackBTime,testTrackCTime
fd3s-A700-3,Mazda,RX-7 Type R 1992,A 700,레트로 스포츠카,RWD,온로드,548 301 814,718hp,1121kg,1.6G,원래 레이싱은 목숨걸고 하는 스포츠임/ 타다 죽어도 내 책임 아님 ㅇㅇ,다시 돌아온 4로터 RX-7/ 조금 더 순한 버전 코너링은 이쪽이 좋음/ 튜닝 더 손봄,경량화/ 스트리트 타이어/ 포르자 에어로/ 2.6L 4rotor,2026-08-21,,1:29.807,
thunderbird57-a700,Ford,Thunderbird 1957,A 700,로드 및 커스텀,RWD,온로드,835 467 254,965hp,1276kg,1.7G,아니 누가봐도 미국산 차량인데 영국산 엔진 구겨넣어서 이상하게 좋아졌음,이 차체가 이 정도 민첩성이 나오는 게 그냥 웃음벨 그 자체임 타보면 놀랄 수도 있음,드리프트 타이어 / TVR 세베라 스피드 엔진 7700cc V12,2026-08-21,,1:30.727,
12ccoupe11-S1800,Mclaren,12C Coupé 2011,S1 800,모던 슈퍼카,RWD,온로드,348 793 428,682hp,1159kg,2.1G,엄청 빠르진 않아도 타기 편함,안정적인 서킷용 후륜/ 커미션 받아서 만든 튜닝,경량화/ 랠리 타이어/ 포르자 에어로,2026-08-21,,1:22.802,
griffith18-a700,TVR,Griffith 2018,A 700,모던 스포츠카,RWD,온로드,141 076 383,480hp,1201kg,1.9G,포르자5때도 내려서 탔어서 이번에도 다운그레이드 쳤음,원래 저번에도 이렇게 내려서 탔었는데 이번 시리즈에서는 진짜 좋은데? 진지하게 써먹어 볼만함,오프로드 타이어 / 호라이즌 에어로 / S1에서 다운그레이드,2026-08-20,,1:29.857,
rzrpro21-c500,Polaris,RZR Pro XP Ultimate 2021,C 500,UTV,4WD,페스티벌 시즌 숙제,172 893 091,237hp,875kg,1.4G,시즌 스턴트를 뭘로 깰까 하다가 그냥 얘가 제일 무난해보여서 만듬,시즌 PR 스턴트 올인원 / UTV C500 / 3종 전부 테스트 완료,그냥 더 커진 타이어에 엔진 출력 올리고 근데 기어 달면 왜 PI가 역으로 내려감,2026-08-20,,,
metro86-A700,MG,Metro 6R4 1986,A 700,랠리 몬스터,4WD,혼합,960 169 335,347hp,1022kg,1.9G,진짜 빠른 거 하나 만들어 보고 싶었는데 만들어짐(?),S1 랠리 좋은 거 생겨서 실업자 된 거 A클로 재취업 시켜줬는데 / 리메이크 해서 더 빨라짐 / 원래 그룹B 고증세팅 하려했는데 안되서 그냥 성능으로 만듬,7대3 / 에어로 꽤 많이 먹이고 실험적 LSD 세팅을 적용했음,2026-08-19,,1:32.591,0:55.996
fd3s-A700-2,Mazda,RX-7 Type R 1992,A 700,레트로 스포츠카,RWD,온로드,605 535 398,763hp,1102kg,1.6G,원래 레이싱은 목숨걸고 하는 스포츠임/ 타다 죽어도 내 책임 아님 ㅇㅇ,다시 돌아온 4로터 RX-7/ 이 좁아터진 서킷은 이 차를 감당하지 못한다,경량화/ 일반 타이어/ 포르자 에어로/ 2.6L 4rotor,2026-08-19,,1:31.607,
continental62-c500,Lincoln,Continental 1962,C 500,로드 및 커스텀,RWD,혼합,179 296 450,379hp,1665kg,1.5G,뭔가 평범한 걸 거부하고 싶어서 만진 게 후륜 오프로드 대형세단이라는 기괴한 조합으로 재탄생,7000rpm까지 올릴 수 있는데 5000rpm이 레드라인 / 레드라인에서 변속하는 게 더 빠릅니다,오프로드 타이어 / 후륜 유지 / 랠리 세팅,2026-08-18,,,1:06.402
sagaris05,TVR,Sagaris 2005,A 700,레트로 스포츠카,RWD,온로드,697 767 056,800hp,1195kg,1.7G,아니 이런 엔진도 들어가나 싶어서 일단 제조하고 봄,엔진 하나를 위해 모든 걸 희생한 차,7700cc V12 때려넣기 위해 모든 걸 희생함,2026-08-17,,1:31.606,
rzr21-a700,RJ Anderson,#37 Polaris RZR Pro 4 Truck 2021,A 700,언리미티드 오프로드,4WD,오프로드,346 698 824,878hp,1744kg,1.5G,대체 진짜 경기용 트럭들은 내가 튜닝한 거랑 뭐가 다르지 싶어 궁금증에서 출발한 거,에어로가 없는데도 이 정도 성능을 낸다고? 소리가 나오면서도 에어로가 포르자에서 얼마나 많은 역할을 하는지 시사점을 동시에 주는 차량인데 근데 타임어택 기록은 거짓말을 못함,그냥 기본 차에 경량화만 하고 엔진 출력 약간만 올렸는데도 이 PI에 이 정도 성능을?,2026-08-16,,,0:56.150
